session_id,session_length,total_spend,avg_price,price_std,category_diversity,product_diversity,color_diversity,location_diversity,photo_diversity,page_diversity,country,month,day_of_week,avg_price_per_click,category_engagement,product_engagement,price_sensitivity,min_price,max_price,conversion_target,revenue_target
1,8,351,43.875,9.463274878633266,4,8,6,6,2,3,29,4,1,43.875,0.5,1.0,0.2156871767209861,33,57,1,758.1600000000001
2,9,443,49.22222222222222,10.697871023920808,3,8,5,6,2,2,29,4,1,49.22222222222222,0.3333333333333333,0.8888888888888888,0.2173382375062918,38,67,1,967.9549999999998
3,3,134,44.666666666666664,5.773502691896256,2,3,3,2,2,1,21,4,1,44.666666666666664,0.6666666666666666,1.0,0.12925752295290127,38,48,0,191.62000000000003
4,4,181,45.25,12.789970028633114,2,4,2,4,1,3,21,4,1,45.25,0.5,1.0,0.28265127135100804,33,62,0,278.74
5,1,57,57.0,,1,1,1,1,1,1,9,4,1,57.0,1.0,1.0,,57,57,0,65.83500000000001
6,3,119,39.666666666666664,7.637626158259734,1,3,3,3,1,2,9,4,1,39.666666666666664,0.3333333333333333,1.0,0.19254519726705213,33,48,0,162.43500000000003
7,8,288,36.0,8.976158898517147,3,8,6,4,2,4,29,4,1,36.0,0.375,1.0,0.24933774718103185,28,52,1,596.16
8,8,293,36.625,13.16855019680277,2,8,5,3,2,3,9,4,1,36.625,0.25,1.0,0.3595508586157753,20,57,1,580.14
9,3,123,41.0,14.730919862656235,2,3,3,3,1,2,29,4,1,41.0,0.6666666666666666,1.0,0.3592907283574691,28,57,0,175.89000000000001
10,5,227,45.4,12.033287165193059,2,5,5,3,2,1,16,4,1,45.4,0.4,1.0,0.26505037808795284,28,57,0,374.55
11,1,72,72.0,,1,1,1,1,1,1,9,4,1,72.0,1.0,1.0,,72,72,0,83.16000000000001
12,7,351,50.142857142857146,8.194074514114279,3,6,6,5,1,2,29,4,1,50.142857142857146,0.42857142857142855,0.8571428571428571,0.1634145914495725,33,57,1,686.205
13,3,114,38.0,8.660254037844387,1,3,2,2,1,1,38,4,1,38.0,0.3333333333333333,1.0,0.2279014220485365,28,43,0,155.61
14,1,43,43.0,,1,1,1,1,1,1,9,4,1,43.0,1.0,1.0,,43,43,0,49.665000000000006
15,20,971,48.55,9.795138428940414,3,20,13,5,2,3,21,4,1,48.55,0.15,1.0,0.20175362366509605,28,67,1,3349.95
16,1,28,28.0,,1,1,1,1,1,1,29,4,1,28.0,1.0,1.0,,28,28,0,32.34
17,4,181,45.25,10.012492197250394,3,4,3,3,2,2,9,4,1,45.25,0.75,1.0,0.2212705457955888,33,57,0,291.40999999999997
18,5,263,52.6,19.178112524437854,1,5,2,3,2,2,9,4,1,52.6,0.2,1.0,0.36460289970414167,38,82,0,414.225
19,3,129,43.0,5.0,2,3,2,2,2,2,29,4,1,43.0,0.6666666666666666,1.0,0.11627906976744186,38,48,0,184.47000000000003
20,2,71,35.5,3.5355339059327378,1,2,2,1,1,2,29,4,1,35.5,0.5,1.0,0.09959250439247148,33,38,0,89.46000000000001
21,5,214,42.8,16.208022704821214,2,5,3,3,1,1,29,4,1,42.8,0.4,1.0,0.37869211927152374,23,67,0,353.1
22,3,138,46.0,13.856406460551018,1,3,3,3,2,2,9,4,1,46.0,0.3333333333333333,1.0,0.301226227403283,38,62,0,188.37
23,1,33,33.0,,1,1,1,1,1,1,29,4,1,33.0,1.0,1.0,,33,33,0,38.11500000000001
24,5,199,39.8,7.155417527999326,3,5,3,4,1,2,29,4,1,39.8,0.6,1.0,0.17978435999998307,33,52,0,343.275
25,1,38,38.0,,1,1,1,1,1,1,9,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
26,2,100,50.0,16.97056274847714,1,2,1,1,1,1,29,4,1,50.0,0.5,1.0,0.3394112549695428,38,62,0,126.0
27,5,234,46.8,7.049822692805827,3,5,4,4,2,1,9,4,1,46.8,0.6,1.0,0.15063723702576554,38,57,0,403.65
28,4,194,48.5,11.73314393786536,3,4,3,3,2,1,29,4,1,48.5,0.75,1.0,0.24192049356423423,38,65,0,312.3399999999999
29,3,133,44.333333333333336,17.03917055884274,1,3,2,3,1,1,29,4,1,44.333333333333336,0.3333333333333333,1.0,0.38434219305660317,28,62,0,181.54500000000002
30,10,404,40.4,10.101705026600433,3,10,6,5,2,3,29,4,1,40.4,0.3,1.0,0.2500422036287236,28,62,1,929.1999999999999
31,9,393,43.666666666666664,9.165151389911678,3,7,6,4,2,3,29,4,1,43.666666666666664,0.3333333333333333,0.7777777777777778,0.20988896312774835,26,52,1,858.7049999999998
32,3,114,38.0,5.0,2,3,3,2,2,2,29,4,1,38.0,0.6666666666666666,1.0,0.13157894736842105,33,43,0,163.02000000000004
33,16,680,42.5,11.117553687749837,3,15,7,6,2,4,29,4,1,42.5,0.1875,0.9375,0.2615894985352903,33,72,1,2033.1999999999998
34,1,57,57.0,,1,1,1,1,1,1,24,4,1,57.0,1.0,1.0,,57,57,0,65.83500000000001
35,5,252,50.4,12.541929676090518,2,5,3,4,2,2,24,4,1,50.4,0.4,1.0,0.24884781103354203,33,62,0,415.8
36,2,66,33.0,0.0,1,1,1,1,1,1,29,4,1,33.0,0.5,0.5,0.0,33,33,0,83.16000000000001
37,5,252,50.4,11.502173707608488,3,5,3,2,2,2,29,4,1,50.4,0.6,1.0,0.22821773229381923,38,62,0,434.7
38,4,181,45.25,12.120918557051139,2,4,3,4,1,2,29,4,1,45.25,0.5,1.0,0.2678656034707434,33,62,0,278.74
39,2,76,38.0,14.142135623730951,2,2,2,1,1,2,41,4,1,38.0,1.0,1.0,0.37216146378239345,28,48,0,100.32000000000001
40,6,257,42.833333333333336,10.107752800037538,2,6,4,4,2,2,9,4,1,42.833333333333336,0.3333333333333333,1.0,0.23597866459231606,33,62,1,452.3200000000001
41,2,61,30.5,3.5355339059327378,1,2,2,1,2,2,9,4,1,30.5,0.5,1.0,0.11591914445681108,28,33,0,76.86
42,1,43,43.0,,1,1,1,1,1,1,29,4,1,43.0,1.0,1.0,,43,43,0,49.665000000000006
43,20,1045,52.25,8.7471799967039,1,11,6,5,2,2,9,4,1,52.25,0.05,0.55,0.16741014347758662,38,62,1,3291.75
44,9,443,49.22222222222222,10.756135200175034,3,9,5,5,2,3,9,4,1,49.22222222222222,0.3333333333333333,1.0,0.2185219340893348,33,67,1,967.9549999999998
45,3,131,43.666666666666664,14.364307617610164,1,3,3,3,2,2,12,4,1,43.666666666666664,0.3333333333333333,1.0,0.32895360956359154,33,60,0,178.81500000000003
46,1,62,62.0,,1,1,1,1,1,1,9,4,1,62.0,1.0,1.0,,62,62,0,71.61
47,4,195,48.75,15.96610994158147,2,4,4,3,1,2,29,4,1,48.75,0.5,1.0,0.32750994751961987,33,67,0,300.3
48,3,114,38.0,0.0,2,3,2,2,2,1,29,4,1,38.0,0.6666666666666666,1.0,0.0,38,38,0,163.02000000000004
49,27,1218,45.111111111111114,14.156632947500487,3,27,12,6,2,4,9,4,1,45.111111111111114,0.1111111111111111,1.0,0.31381698652094675,20,82,1,5182.59
50,4,195,48.75,12.579745625409126,1,4,4,3,1,1,29,4,1,48.75,0.25,1.0,0.25804606411095643,38,62,0,286.65000000000003
51,4,234,58.5,20.872629605937693,1,3,2,2,1,1,9,4,1,58.5,0.25,0.75,0.3567970872809862,28,72,0,343.97999999999996
52,9,385,42.77777777777778,13.971200536977646,3,8,5,5,2,1,38,4,1,42.77777777777778,0.3333333333333333,0.8888888888888888,0.3265994930722047,28,67,1,841.2249999999999
53,2,71,35.5,10.606601717798213,1,2,2,2,1,1,9,4,1,35.5,0.5,1.0,0.29877751317741447,28,43,0,89.46000000000001
54,3,119,39.666666666666664,2.886751345948128,1,3,2,2,2,1,29,4,1,39.666666666666664,0.3333333333333333,1.0,0.07277524401549904,38,43,0,162.43500000000003
55,7,281,40.142857142857146,8.09173593712687,2,6,4,4,2,1,29,4,1,40.142857142857146,0.2857142857142857,0.8571428571428571,0.20157349309568715,28,48,1,525.4700000000001
56,7,277,39.57142857142857,14.362649974350635,4,7,7,4,2,2,29,4,1,39.57142857142857,0.5714285714285714,1.0,0.36295505350344565,23,60,1,565.08
57,3,99,33.0,8.660254037844387,1,3,3,3,2,2,41,4,1,33.0,0.3333333333333333,1.0,0.262431940540739,28,43,0,135.13500000000002
58,4,176,44.0,12.675435561221029,2,4,4,3,2,2,29,4,1,44.0,0.5,1.0,0.28807808093684156,33,62,0,271.04
59,1,55,55.0,,1,1,1,1,1,1,24,4,1,55.0,1.0,1.0,,55,55,0,63.52500000000001
60,6,285,47.5,10.014988766843425,3,5,4,4,2,1,21,4,1,47.5,0.5,0.8333333333333334,0.21084186877565106,33,57,1,524.4
61,4,195,48.75,15.96610994158147,2,4,3,3,2,2,24,4,1,48.75,0.5,1.0,0.32750994751961987,33,67,0,300.3
63,4,147,36.75,13.149778198382917,1,4,3,3,2,1,9,4,1,36.75,0.25,1.0,0.35781709383354876,23,48,0,216.09
64,13,735,56.53846153846154,11.765878523760879,1,10,4,5,2,2,24,4,1,56.53846153846154,0.07692307692307693,0.7692307692307693,0.20810397388964819,38,67,1,1775.0249999999999
65,3,150,50.0,19.078784028338912,1,3,2,2,1,2,24,4,1,50.0,0.3333333333333333,1.0,0.38157568056677826,28,62,0,204.75
66,2,76,38.0,0.0,2,2,2,2,2,1,24,4,1,38.0,1.0,1.0,0.0,38,38,0,100.32000000000001
67,17,798,46.94117647058823,12.054410957380364,3,17,10,6,2,3,24,4,1,46.94117647058823,0.17647058823529413,1.0,0.2567982284153712,33,82,1,2477.7900000000004
68,1,43,43.0,,1,1,1,1,1,1,24,4,1,43.0,1.0,1.0,,43,43,0,49.665000000000006
69,11,530,48.18181818181818,9.968131036640541,3,11,7,4,2,4,24,4,1,48.18181818181818,0.2727272727272727,1.0,0.20688573849631312,28,57,1,1279.9499999999998
70,3,152,50.666666666666664,10.96965511460289,1,3,3,2,1,1,41,4,1,50.666666666666664,0.3333333333333333,1.0,0.21650635094610968,38,57,0,207.48
71,1,33,33.0,,1,1,1,1,1,1,9,4,1,33.0,1.0,1.0,,33,33,0,38.11500000000001
72,1,48,48.0,,1,1,1,1,1,1,29,4,1,48.0,1.0,1.0,,48,48,0,55.440000000000005
73,1,38,38.0,,1,1,1,1,1,1,29,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
74,6,228,38.0,6.324555320336759,2,6,4,5,2,3,29,4,1,38.0,0.3333333333333333,1.0,0.16643566632465157,28,48,1,401.28000000000003
75,1,52,52.0,,1,1,1,1,1,1,29,4,1,52.0,1.0,1.0,,52,52,0,60.06
76,10,405,40.5,7.168604389202188,3,9,6,5,2,5,29,4,1,40.5,0.3,0.9,0.17700257751116513,28,48,1,931.4999999999999
77,4,185,46.25,6.946221994724903,1,4,4,4,2,1,29,4,1,46.25,0.25,1.0,0.15018858366972762,38,52,0,271.95
78,1,33,33.0,,1,1,1,1,1,1,9,4,1,33.0,1.0,1.0,,33,33,0,38.11500000000001
79,10,374,37.4,13.753383422109469,2,10,4,5,2,2,29,4,1,37.4,0.2,1.0,0.3677375246553334,28,72,1,822.8000000000001
80,2,76,38.0,7.0710678118654755,2,2,2,1,1,1,29,4,1,38.0,1.0,1.0,0.18608073189119673,33,43,0,100.32000000000001
81,5,233,46.6,12.915107432770352,1,4,4,3,2,1,29,4,1,46.6,0.2,0.8,0.27714822817103757,38,67,0,366.975
82,7,319,45.57142857142857,12.752217360876799,4,7,6,5,2,2,29,4,1,45.57142857142857,0.5714285714285714,1.0,0.2798292210850708,28,62,1,650.7600000000001
83,8,339,42.375,5.629958132298016,2,7,6,4,2,1,29,4,1,42.375,0.25,0.875,0.132860368903788,33,48,1,671.2200000000001
84,4,210,52.5,12.396235987858034,2,4,4,3,1,2,9,4,1,52.5,0.5,1.0,0.23611878072110543,38,67,0,323.40000000000003
85,1,28,28.0,,1,1,1,1,1,1,24,4,1,28.0,1.0,1.0,,28,28,0,32.34
86,10,370,37.0,13.646326326972481,3,10,5,5,2,3,24,4,1,37.0,0.3,1.0,0.3688196304587157,20,62,1,850.9999999999999
87,4,176,44.0,12.675435561221029,2,4,2,4,2,1,41,4,1,44.0,0.5,1.0,0.28807808093684156,33,62,0,271.04
88,4,167,41.75,7.5,2,4,3,3,1,1,29,4,1,41.75,0.5,1.0,0.17964071856287425,33,48,0,257.18
89,1,50,50.0,,1,1,1,1,1,1,29,4,1,50.0,1.0,1.0,,50,50,0,57.75000000000001
90,1,38,38.0,,1,1,1,1,1,1,29,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
91,4,191,47.75,15.924300089276556,3,4,2,3,2,1,29,4,1,47.75,0.75,1.0,0.33349319558694357,28,67,0,307.50999999999993
92,1,38,38.0,,1,1,1,1,1,1,24,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
94,9,400,44.44444444444444,9.001543077593851,3,9,4,4,2,4,29,4,1,44.44444444444444,0.3333333333333333,1.0,0.20253471924586167,28,57,1,873.9999999999999
95,2,96,48.0,0.0,1,2,2,2,2,1,9,4,1,48.0,0.5,1.0,0.0,48,48,0,120.96
96,5,242,48.4,9.710818709048171,3,5,4,3,2,3,9,4,1,48.4,0.6,1.0,0.20063675018694568,38,57,0,417.45
97,1,43,43.0,,1,1,1,1,1,1,21,4,1,43.0,1.0,1.0,,43,43,0,49.665000000000006
98,1,28,28.0,,1,1,1,1,1,1,21,4,1,28.0,1.0,1.0,,28,28,0,32.34
99,9,419,46.55555555555556,9.773831274263832,2,8,4,5,2,2,29,4,1,46.55555555555556,0.2222222222222222,0.8888888888888888,0.20993909658323268,38,62,1,875.7099999999999
100,10,375,37.5,7.24568837309472,3,10,7,5,1,1,29,4,1,37.5,0.3,1.0,0.1932183566158592,28,48,1,862.4999999999999
101,1,57,57.0,,1,1,1,1,1,1,29,4,1,57.0,1.0,1.0,,57,57,0,65.83500000000001
102,4,167,41.75,7.5,3,3,3,2,1,1,29,4,1,41.75,0.75,0.75,0.17964071856287425,33,48,0,268.86999999999995
103,3,114,38.0,0.0,1,2,2,1,1,1,9,4,1,38.0,0.3333333333333333,0.6666666666666666,0.0,38,38,0,155.61
104,3,181,60.333333333333336,7.637626158259733,1,3,2,3,1,1,29,4,1,60.333333333333336,0.3333333333333333,1.0,0.1265904888109348,52,67,0,247.06500000000003
105,1,67,67.0,,1,1,1,1,1,1,29,4,1,67.0,1.0,1.0,,67,67,0,77.385
106,2,103,51.5,19.091883092036785,1,2,2,2,1,1,29,4,1,51.5,0.5,1.0,0.3707161765444036,38,65,0,129.78
107,20,743,37.15,9.953973023238932,4,18,9,6,2,4,29,4,1,37.15,0.2,0.9,0.26794005446134406,23,62,1,2674.7999999999997
108,2,76,38.0,0.0,1,2,2,2,2,1,29,4,1,38.0,0.5,1.0,0.0,38,38,0,95.76
109,3,143,47.666666666666664,12.662279942148386,2,3,2,2,2,2,29,4,1,47.666666666666664,0.6666666666666666,1.0,0.26564223654856756,38,62,0,204.49
110,4,162,40.5,5.000000000000001,1,4,3,4,1,4,29,4,1,40.5,0.25,1.0,0.12345679012345681,33,43,0,238.14
111,1,62,62.0,,1,1,1,1,1,1,29,4,1,62.0,1.0,1.0,,62,62,0,71.61
112,6,266,44.333333333333336,10.782702196883056,3,6,5,3,2,2,29,4,1,44.333333333333336,0.5,1.0,0.24321884654623432,33,62,1,489.44
113,7,343,49.0,11.372481406154654,3,6,5,4,2,2,24,4,1,49.0,0.42857142857142855,0.8571428571428571,0.2320914572684623,28,62,1,670.5649999999999
114,2,76,38.0,14.142135623730951,1,2,2,2,1,2,24,4,1,38.0,0.5,1.0,0.37216146378239345,28,48,0,95.76
115,2,71,35.5,3.5355339059327378,2,2,2,2,2,2,9,4,1,35.5,1.0,1.0,0.09959250439247148,33,38,0,93.72000000000001
116,2,100,50.0,16.97056274847714,1,2,2,2,1,2,9,4,1,50.0,0.5,1.0,0.3394112549695428,38,62,0,126.0
118,1,38,38.0,,1,1,1,1,1,1,29,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
119,8,376,47.0,13.255726525328054,3,8,3,5,2,2,9,4,1,47.0,0.375,1.0,0.28203673458144796,28,62,1,778.32
120,6,323,53.833333333333336,8.953584012375527,2,5,4,3,2,2,9,4,1,53.833333333333336,0.3333333333333333,0.8333333333333334,0.1663204460503194,38,62,1,568.4800000000001
121,8,294,36.75,8.345229603962801,3,6,6,4,2,2,29,4,1,36.75,0.375,0.75,0.22708107765885174,28,48,1,608.58
122,3,119,39.666666666666664,2.886751345948128,2,3,1,3,1,1,29,4,1,39.666666666666664,0.6666666666666666,1.0,0.07277524401549904,38,43,0,170.17000000000004
123,7,251,35.857142857142854,8.09173593712687,2,7,6,4,2,2,29,4,1,35.857142857142854,0.2857142857142857,1.0,0.2256659424696737,23,43,1,469.37000000000006
124,7,308,44.0,16.960738977611403,4,7,5,4,2,3,29,4,1,44.0,0.5714285714285714,1.0,0.38547134040025915,28,62,1,628.32
125,34,1574,46.294117647058826,13.127647004110358,4,33,11,6,2,3,29,4,1,46.294117647058826,0.11764705882352941,0.9705882352941176,0.28357051978383235,20,67,1,8310.72
126,2,76,38.0,14.142135623730951,1,2,2,2,1,1,29,4,1,38.0,0.5,1.0,0.37216146378239345,28,48,0,95.76
127,5,202,40.4,7.334848328356899,2,4,4,3,2,2,29,4,1,40.4,0.4,0.8,0.18155565169200247,33,50,0,333.3
128,1,28,28.0,,1,1,1,1,1,1,29,4,1,28.0,1.0,1.0,,28,28,0,32.34
130,4,157,39.25,4.7871355387816905,1,4,3,3,2,3,29,4,1,39.25,0.25,1.0,0.12196523665685835,33,43,0,230.79
131,2,81,40.5,10.606601717798213,1,2,2,1,1,1,29,4,1,40.5,0.5,1.0,0.2618914004394621,33,48,0,102.06
132,5,242,48.4,21.078424988599124,3,5,3,3,2,1,29,4,1,48.4,0.6,1.0,0.43550464852477533,23,67,0,417.45
133,4,224,56.0,8.205689083394114,1,4,4,4,2,1,29,4,1,56.0,0.25,1.0,0.14653016220346632,48,67,0,329.28
134,1,43,43.0,,1,1,1,1,1,1,29,4,1,43.0,1.0,1.0,,43,43,0,49.665000000000006
135,4,147,36.75,2.4999999999999996,2,4,4,2,2,2,29,4,1,36.75,0.5,1.0,0.06802721088435373,33,38,0,226.38
136,1,62,62.0,,1,1,1,1,1,1,29,4,1,62.0,1.0,1.0,,62,62,0,71.61
137,3,124,41.333333333333336,2.88675134594813,1,3,1,3,1,1,29,4,1,41.333333333333336,0.3333333333333333,1.0,0.06984075836971282,38,43,0,169.26000000000002
138,12,561,46.75,14.57348152077477,2,8,3,4,2,4,29,4,1,46.75,0.16666666666666666,0.6666666666666666,0.3117322250433106,23,62,1,1357.6200000000001
139,6,310,51.666666666666664,16.657330718535505,3,5,4,3,2,1,29,4,1,51.666666666666664,0.5,0.8333333333333334,0.3223999493910098,38,72,1,570.4
140,2,71,35.5,10.606601717798213,2,2,2,2,1,1,29,4,1,35.5,1.0,1.0,0.29877751317741447,28,43,0,93.72000000000001
141,4,137,34.25,11.086778913041726,2,4,4,4,2,1,29,4,1,34.25,0.5,1.0,0.32370157410340805,23,48,0,210.98
142,1,28,28.0,,1,1,1,1,1,1,29,4,1,28.0,1.0,1.0,,28,28,0,32.34
143,4,181,45.25,10.012492197250392,2,4,4,4,2,3,29,4,1,45.25,0.5,1.0,0.22127054579558877,33,57,0,278.74
144,2,76,38.0,0.0,1,2,2,2,2,2,29,4,1,38.0,0.5,1.0,0.0,38,38,0,95.76
145,3,184,61.333333333333336,11.015141094572202,2,3,2,3,1,2,29,4,1,61.333333333333336,0.6666666666666666,1.0,0.17959469175932938,50,72,0,263.12000000000006
146,12,592,49.333333333333336,13.62706753843136,3,8,6,4,2,2,29,4,1,49.333333333333336,0.25,0.6666666666666666,0.27622434199523027,28,72,1,1497.76
147,1,38,38.0,,1,1,1,1,1,1,29,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
148,5,248,49.6,13.86722755275906,1,5,2,3,1,2,29,4,1,49.6,0.2,1.0,0.2795812006604649,38,67,0,390.6
149,4,162,40.5,2.886751345948129,2,4,2,3,2,1,29,4,1,40.5,0.5,1.0,0.07127781101106491,38,43,0,249.48
151,1,23,23.0,,1,1,1,1,1,1,29,4,1,23.0,1.0,1.0,,23,23,0,26.565
152,4,162,40.5,6.454972243679028,2,4,3,3,2,1,29,4,1,40.5,0.5,1.0,0.15938203070812415,33,48,0,249.48
153,6,224,37.333333333333336,16.35440817231448,4,5,4,4,2,3,29,4,1,37.333333333333336,0.6666666666666666,0.8333333333333334,0.43806450461556634,20,67,1,430.08000000000004
154,3,162,54.0,7.211102550927978,2,3,2,2,1,2,29,4,1,54.0,0.6666666666666666,1.0,0.1335389361282959,48,62,0,231.66000000000003
155,2,95,47.5,20.506096654409877,1,2,2,1,1,1,29,4,1,47.5,0.5,1.0,0.43170729798757634,33,62,0,119.7
157,22,887,40.31818181818182,10.692170538413182,4,21,9,6,2,4,29,4,1,40.31818181818182,0.18181818181818182,0.9545454545454546,0.2651947596900676,28,62,1,3406.08
158,1,38,38.0,,1,1,1,1,1,1,29,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
159,2,95,47.5,20.506096654409877,2,2,2,2,1,2,29,4,1,47.5,1.0,1.0,0.43170729798757634,33,62,0,125.4
160,3,129,43.0,5.0,1,3,2,3,2,3,29,4,1,43.0,0.3333333333333333,1.0,0.11627906976744186,38,48,0,176.08500000000004
161,1,33,33.0,,1,1,1,1,1,1,29,4,1,33.0,1.0,1.0,,33,33,0,38.11500000000001
162,4,127,31.75,7.5,1,3,2,2,2,2,29,4,1,31.75,0.25,0.75,0.23622047244094488,23,38,0,186.69
163,3,109,36.333333333333336,10.408329997330663,1,3,3,2,1,1,29,4,1,36.333333333333336,0.3333333333333333,1.0,0.2864677980916696,28,48,0,148.78500000000003
164,2,71,35.5,10.606601717798213,1,2,2,2,2,2,29,4,1,35.5,0.5,1.0,0.29877751317741447,28,43,0,89.46000000000001
165,4,199,49.75,11.412712210513327,2,4,4,3,1,2,29,4,1,49.75,0.5,1.0,0.22940125046257942,33,57,0,306.46
166,1,38,38.0,,1,1,1,1,1,1,29,4,1,38.0,1.0,1.0,,38,38,0,43.89000000000001
167,3,124,41.333333333333336,11.547005383792515,1,3,3,3,2,1,44,4,1,41.333333333333336,0.3333333333333333,1.0,0.27936303347885116,28,48,0,169.26000000000002
168,33,1426,43.21212121212121,11.243769318375778,2,25,8,6,2,4,34,4,1,43.21212121212121,0.06060606060606061,0.7575757575757576,0.26019943022889247,18,57,1,6744.980000000001
169,1,67,67.0,,1,1,1,1,1,1,29,4,1,67.0,1.0,1.0,,67,67,0,77.385
170,8,385,48.125,11.58123482190047,2,8,4,4,2,2,29,4,1,48.125,0.25,1.0,0.2406490352602695,33,62,1,762.3000000000001
171,6,282,47.0,9.38083151964686,2,5,3,4,2,1,29,4,1,47.0,0.3333333333333333,0.8333333333333334,0.19959215999248636,33,62,1,496.3200000000001
